"ID","Name","NumGenes","CorrectedPvalue","Multifunctionality","GeneMemberDiff"
"GO:0007409","axonogenesis",360,7e-10,0.937,"ABL1, ACTB, ADARB1, ADCY1, AGRN, ALCAM, ALS2, ANK3, APBB1, APBB2, APP, ARHGAP35, ARTN, ATL1, ATP8A2, AUTS2, B3GNT2, B4GALT5, B4GALT6, BAIAP2, BCL11B, BCL2, BDNF, BMP7, BMPR1B, BOC, BRSK1, BRSK2, BSG, C12orf57, C9orf72, CCK, CDH11, CDH4, CDK5R1, CHL1, CHN1, CHRNB2, CNP, CNTN2, CNTN4, COBL, COL25A1, CREB1, CRMP1, CSF1R, CTNNA2, CXCL12, CYFIP2, DAB1, DCC, DCLK1, DOK1, DOK2, DOK5, DOK6, DPYSL5, DRAXIN, DRD2, DRGX, DSCAM, DSCAML1, EFNA2, EFNA3, EFNA4, EFNA5, EFNB2, EFNB3, EGFLAM, EGR2, EPHA10, EPHA2, EPHA5, EPHA6, EPHA8, EPHB1, EPHB2, EVL, EXT1, EZR, FAM129B, FEZ2, FEZF1, FGF8, FGFR2, FLOT1, FLRT2, FRS2, FYN, FZD3, GAB1, GAB2, GAP43, GATA3, GBX1, GDF7, GDNF, GFRA1, GFRA2, GFRA4, GLI2, GLI3, GPC1, GRB2, GRB7, HOXA2, HSP90AB1, IGSF9, IRS2, ISPD, ITGA4, KIF5A, KIF5C, KLF7, LAMA1, LAMA2, LAMC2, LGI1, LGR6, LHX2, LHX3, LHX4, LLGL1, LMX1A, LRP1, LRTM1, LRTM2, LYPLA2, MAP1A, MAP1B, MAP1S, MAP2, MAPK1, MATN2, MYOT, MYPN, NCAM1, NDEL1, NDN, NEXN, NFASC, NIN, NKX2-1, NOTCH1, NPTN, NPTX1, NR2E1, NR4A2, NR4A3, NRCAM, NRP2, NRXN1, NRXN3, NTN1, NTN3, NTN5, NTNG1, NTNG2, NTRK1, NUMB, NUMBL, OR10A4, OTX2, PAFAH1B1, PALLD, PARD3, PAX2, PAX6, PICALM, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PITPNA, PLCG1, PLXNA1, PLXNA2, PLXNA4, PLXNB1, PLXNB2, PLXNC1, PLXND1, POU4F2, POU4F3, PPP3CB, PRKCA, PRKCQ, PSPN, PTCH1, PTK2, PTPRA, PTPRM, PTPRO, PTPRZ1, RAB10, RAB8A, RAC2, RANBP9, RAP1GAP, RELN, RET, RHOBTB3, RNF165, ROBO1, ROBO2, ROBO3, ROBO4, RPL24, RPS6KA5, S100B, SCN1B, SEMA3A, SEMA3B, SEMA3C, SEMA3D, SEMA3F, SEMA4A, SEMA4F, SEMA5A, SEMA5B, SEMA6A, SEMA6C, SEMA7A, SHANK3, SHC3, SHH, SIAH1, SLIT1, SLIT2, SLIT3, SLITRK1, SMAD4, SPG11, SPTA1, SPTB, SPTBN1, SPTBN2, SPTBN4, SPTBN5, SRC, STK11, STMN1, STXBP1, TAOK2, TCTN1, TMEFF2, TNN, TNR, TRIO, TSKU, TUBB3, UCHL1, ULK1, ULK2, UNC5A, UNC5B, UNC5C, UNC5D, USP33, VANGL2, VAX2, VCL, VLDLR, VSTM2L, WNT3A, WNT5A, WNT7A, ZEB2"
"GO:0061564","axon development",393,4e-09,0.939,"ABL1, ACTB, ADARB1, ADCY1, AGRN, ALCAM, ALS2, ANK3, APBB1, APBB2, APP, ARHGAP35, ARTN, ATL1, ATP8A2, AUTS2, B3GNT2, B4GALT5, B4GALT6, BAIAP2, BCL11B, BCL2, BDNF, BMP7, BMPR1B, BOC, BRSK1, BRSK2, BSG, C12orf57, C9orf72, CCK, CDH11, CDH4, CDK5R1, CHL1, CHN1, CHRNB2, CNP, CNR1, CNTN2, CNTN4, COBL, COL25A1, CREB1, CRMP1, CRTAC1, CSF1R, CTNNA1, CTNNA2, CXCL12, CYFIP2, DAB1, DCC, DCLK1, DDR1, DOK1, DOK2, DOK5, DOK6, DPYSL5, DRAXIN, DRD2, DRGX, DSCAM, DSCAML1, EFNA2, EFNA3, EFNA4, EFNA5, EFNB2, EFNB3, EGFLAM, EGR2, EPHA10, EPHA2, EPHA5, EPHA6, EPHA8, EPHB1, EPHB2, EVL, EXT1, EZR, FAM129B, FEZ2, FEZF1, FGF8, FGFR2, FLOT1, FLRT2, FOLR1, FRS2, FYN, FZD3, GAB1, GAB2, GAP43, GATA3, GBX1, GDF7, GDNF, GFRA1, GFRA2, GFRA4, GLI2, GLI3, GPC1, GRB2, GRB7, HOXA2, HSP90AB1, IGSF9, IRS2, ISPD, ITGA4, JAM3, KIF5A, KIF5C, KLF7, LAMA1, LAMA2, LAMC2, LGI1, LGR6, LHX2, LHX3, LHX4, LLGL1, LMX1A, LRP1, LRTM1, LRTM2, LYPLA2, MAG, MAP1A, MAP1B, MAP1S, MAP2, MAPK1, MAPK8IP3, MAPT, MARK2, MATN2, MEGF8, MYOT, MYPN, NCAM1, NCAM2, NDEL1, NDN, NEXN, NFASC, NIN, NKX2-1, NOTCH1, NPTN, NPTX1, NR2E1, NR4A2, NR4A3, NRCAM, NREP, NRP2, NRXN1, NRXN3, NTN1, NTN3, NTN5, NTNG1, NTNG2, NTRK1, NUMB, NUMBL, OR10A4, OTX2, PAFAH1B1, PALLD, PARD3, PAX2, PAX6, PICALM, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PITPNA, PLCG1, PLXNA1, PLXNA2, PLXNA4, PLXNB1, PLXNB2, PLXNC1, PLXND1, POU4F2, POU4F3, PPP3CB, PRKCA, PRKCQ, PSPN, PTCH1, PTK2, PTPRA, PTPRM, PTPRO, PTPRZ1, RAB10, RAB8A, RAC2, RANBP9, RAP1GAP, RELN, RET, RHOBTB3, RNF165, ROBO1, ROBO2, ROBO3, ROBO4, RPL24, RPS6KA5, RTN4RL1, RTN4RL2, S100B, SCN1B, SEMA3A, SEMA3B, SEMA3C, SEMA3D, SEMA3F, SEMA4A, SEMA4F, SEMA5A, SEMA5B, SEMA6A, SEMA6C, SEMA7A, SHANK3, SHC3, SHH, SIAH1, SLIT1, SLIT2, SLIT3, SLITRK1, SMAD4, SPG11, SPTA1, SPTB, SPTBN1, SPTBN2, SPTBN4, SPTBN5, SRC, STK11, STMN1, STXBP1, TAOK2, TCTN1, TMEFF2, TNC, TNFRSF21, TNN, TNR, TRIO, TSKU, TSPO, TUBB3, UCHL1, ULK1, ULK2, UNC5A, UNC5B, UNC5C, UNC5D, USP33, VANGL2, VAX2, VCL, VLDLR, VSTM2L, WNT3A, WNT5A, WNT7A, ZEB2"
"GO:0048167","regulation of synaptic plasticity",187,3e-09,0.98,"ABL1, ADCY1, ADORA1, ADORA2A, AGER, AGT, ANAPC2, APOE, APP, ARC, BAIAP2, BRSK1, CAMK2A, CAMK2B, CBLN1, CD38, CDC20, CHRNA7, CNTN2, CNTN4, CPEB3, CPLX2, CREB1, CRH, CRHR2, CRTC1, CX3CR1, CYP46A1, DBN1, DGKI, DLG4, DRD2, DRD5, EGR2, EIF2AK4, EPHB2, FAM107A, FGF14, GIP, GIPC1, GRIA1, GRID2, GRID2IP, GRIK2, GRIN1, GRIN2A, GRIN2B, GRIN2D, GRM5, GSK3B, HRAS, HRH1, HRH2, IGSF11, INS, ITPR3, JPH3, JPH4, KAT2A, KCNB1, KCNJ10, KRAS, LGMN, LILRB2, LRRTM1, LRRTM2, LZTS1, MAP1A, MAP1B, MAPK1, MAPT, MCTP1, MME, MPP2, NCSTN, NETO1, NEURL1, NEUROD2, NF1, NFATC4, NLGN1, NPAS4, NPTN, NR2E1, NRGN, NSG1, NSMF, NTRK2, P2RX3, PICK1, PPFIA3, PPP1R9A, PPP3CB, PRKCZ, PSEN1, PTGS2, PTK2B, PTN, RAB11A, RAB5A, RAB8A, RAPGEF2, RARA, RASGRF1, RELN, RGS14, RIMS1, RIMS3, RIMS4, RIN1, S100B, SCGN, SCT, SCTR, SERPINE2, SHANK1, SHANK2, SHANK3, SHISA6, SHISA7, SHISA9, SIPA1L1, SLC24A1, SLC24A2, SLC4A10, SLC8A2, SLC8A3, SNAP25, SNAP47, SNCA, SORCS2, SORCS3, SQSTM1, SSH1, STAR, STAU1, STX3, STXBP1, SYNGAP1, SYNGR1, SYNPO, SYT12, SYT4, SYT7, TNR, TYROBP, UNC13A, UNC13B, UNC13C, YWHAG"
"GO:0043062","extracellular structure organization",362,7e-09,0.913,"A2M, ABCA1, ABCA5, ABCA7, ABCG1, ABI3BP, ACAN, ACSL3, ADAM10, ADAM15, ADAM19, ADAM8, ADAMTS14, ADAMTS2, ADAMTS20, ADAMTS3, ADAMTS4, ADAMTS5, ADAMTS9, ADAMTSL2, ADAMTSL4, AGRN, AGT, AGTR1, APBB2, APOA5, APOB, APOC2, APOC3, APOC4, APOE, APOM, APP, ATXN1L, B4GALT1, BCL3, BMP1, BSG, CAPG, CAPN2, CAV1, CAV2, CCDC80, CD34, CD44, CDH1, CETP, COL11A1, COL11A2, COL12A1, COL13A1, COL14A1, COL15A1, COL16A1, COL17A1, COL18A1, COL1A1, COL1A2, COL22A1, COL23A1, COL24A1, COL27A1, COL28A1, COL2A1, COL3A1, COL4A1, COL4A3, COL4A4, COL5A1, COL5A2, COL5A3, COL6A1, COL6A2, COL6A3, COL7A1, COL8A1, COL8A2, COL9A1, COL9A2, COL9A3, COLQ, CREB3L1, CRISPLD2, CSGALNACT1, CTRB1, CTRB2, CTSG, CYP1B1, DCN, DDR1, DDR2, DGAT1, DNAJB6, DPT, DSPP, ECM2, EFEMP2, EGFLAM, ELANE, ELN, EMILIN1, ENG, FBLN1, FBLN2, FBN1, FBN2, FGA, FGB, FGF2, FGG, FLOT1, FLRT2, FN1, FOXF1, FOXF2, GAS2, GREM1, GSN, HAPLN1, HAS1, HPN, HPSE2, HSD17B12, HSPG2, HTRA1, ICAM1, ICAM4, ITGA11, ITGA2, ITGA2B, ITGA4, ITGA5, ITGA7, ITGA8, ITGA9, ITGAD, ITGAE, ITGAL, ITGAM, ITGAV, ITGAX, ITGB2, ITGB4, ITGB5, ITGB6, ITGB8, JAM2, JAM3, KDR, KIF9, KLK2, KLK4, KLK5, KLK7, LAMA1, LAMA2, LAMA3, LAMA4, LAMA5, LAMB3, LAMB4, LAMC2, LAMC3, LCP1, LIPC, LIPG, LOX, LOXL1, LOXL2, LOXL3, LPA, MADCAM1, MATN1, MATN4, MEGF9, MFAP5, MMP1, MMP11, MMP13, MMP14, MMP15, MMP16, MMP17, MMP19, MMP2, MMP20, MMP21, MMP23B, MMP24, MMP25, MMP26, MMP9, MPO, MPV17, MYF5, MYH11, MYO1E, NCAN, NDNF, NF1, NID1, NID2, NOXO1, NR2E1, OLFML2A, P4HA1, P4HB, PDGFA, PDGFB, PDGFRA, PLA2G2E, PLA2G7, PLAGL2, PLOD1, PLOD2, PLOD3, PLTP, POMT1, POSTN, PRKACB, PTK2, PXDN, QSOX1, RIC8A, SCARB1, SCUBE3, SERAC1, SERPINE1, SERPINF2, SERPINH1, SFRP2, SH3PXD2A, SH3PXD2B, SMOC2, SMPD3, SPARC, SPINK5, SPINT1, SPINT2, SPOCK2, SPP1, SULF1, SULF2, TEX14, TGFB1, TGFB2, TGFBI, THSD4, TIMP2, TLL1, TLL2, TMEM38B, TMPRSS6, TNC, TNF, TNFRSF11B, TNR, TNXB, TTR, VCAM1, VIPAS39, VIT, VTN, VWA1, VWF, WNT3A, WT1, ZDHHC8"
"GO:0030198","extracellular matrix organization",318,1e-08,0.905,"A2M, ABI3BP, ACAN, ADAM10, ADAM15, ADAM19, ADAM8, ADAMTS14, ADAMTS2, ADAMTS20, ADAMTS3, ADAMTS4, ADAMTS5, ADAMTS9, ADAMTSL2, ADAMTSL4, AGRN, APBB2, APP, ATXN1L, B4GALT1, BCL3, BMP1, BSG, CAPG, CAPN2, CAV1, CAV2, CCDC80, CD44, CDH1, COL11A1, COL11A2, COL12A1, COL13A1, COL14A1, COL15A1, COL16A1, COL17A1, COL18A1, COL1A1, COL1A2, COL22A1, COL23A1, COL24A1, COL27A1, COL28A1, COL2A1, COL3A1, COL4A1, COL4A3, COL4A4, COL5A1, COL5A2, COL5A3, COL6A1, COL6A2, COL6A3, COL7A1, COL8A1, COL8A2, COL9A1, COL9A2, COL9A3, COLQ, CREB3L1, CRISPLD2, CSGALNACT1, CTRB1, CTRB2, CTSG, CYP1B1, DCN, DDR1, DDR2, DNAJB6, DPT, DSPP, ECM2, EFEMP2, EGFLAM, ELANE, ELN, EMILIN1, ENG, FBLN1, FBLN2, FBN1, FBN2, FGA, FGB, FGF2, FGG, FLOT1, FLRT2, FN1, FOXF1, FOXF2, GAS2, GREM1, GSN, HAPLN1, HAS1, HPN, HPSE2, HSD17B12, HSPG2, HTRA1, ICAM1, ICAM4, ITGA11, ITGA2, ITGA2B, ITGA4, ITGA5, ITGA7, ITGA8, ITGA9, ITGAD, ITGAE, ITGAL, ITGAM, ITGAV, ITGAX, ITGB2, ITGB4, ITGB5, ITGB6, ITGB8, JAM2, JAM3, KDR, KIF9, KLK2, KLK4, KLK5, KLK7, LAMA1, LAMA2, LAMA3, LAMA4, LAMA5, LAMB3, LAMB4, LAMC2, LAMC3, LCP1, LOX, LOXL1, LOXL2, LOXL3, MADCAM1, MATN1, MATN4, MEGF9, MFAP5, MMP1, MMP11, MMP13, MMP14, MMP15, MMP16, MMP17, MMP19, MMP2, MMP20, MMP21, MMP23B, MMP24, MMP25, MMP26, MMP9, MPV17, MYF5, MYH11, MYO1E, NCAN, NDNF, NF1, NID1, NID2, NOXO1, NR2E1, OLFML2A, P4HA1, PDGFA, PDGFB, PDGFRA, PLOD1, PLOD2, PLOD3, POMT1, POSTN, PTK2, PXDN, QSOX1, RIC8A, SCUBE3, SERAC1, SERPINE1, SERPINF2, SERPINH1, SFRP2, SH3PXD2A, SH3PXD2B, SMOC2, SMPD3, SPARC, SPINK5, SPINT1, SPINT2, SPOCK2, SPP1, SULF1, SULF2, TGFB1, TGFB2, TGFBI, THSD4, TIMP2, TLL1, TLL2, TMEM38B, TMPRSS6, TNC, TNF, TNFRSF11B, TNR, TNXB, TTR, VCAM1, VIPAS39, VIT, VTN, VWA1, VWF, WNT3A, WT1"
"GO:0097485","neuron projection guidance",251,1e-08,0.925,"AGRN, ALCAM, APBB2, APP, ARHGAP35, ARTN, B3GNT2, BCL11B, BDNF, BMP7, BMPR1B, BOC, BSG, CDH4, CDK5R1, CHL1, CHN1, CNTN2, CNTN4, CRMP1, CSF1R, CXCL12, CYFIP2, DAB1, DCC, DOK1, DOK2, DOK5, DOK6, DPYSL4, DPYSL5, DRAXIN, DRGX, DSCAM, DSCAML1, EFNA2, EFNA3, EFNA4, EFNA5, EFNB2, EFNB3, EGFLAM, EGR2, EPHA10, EPHA2, EPHA5, EPHA6, EPHA8, EPHB1, EPHB2, EVL, EXT1, EZR, FAM129B, FEZ2, FEZF1, FGF8, FLRT2, FRS2, FYN, FZD3, GAB1, GAB2, GAP43, GATA3, GBX1, GDF7, GDNF, GFRA1, GFRA2, GFRA4, GLI2, GLI3, GPC1, GRB2, GRB7, HOXA2, IGSF9, IRS2, ISPD, KIF5A, KIF5C, KLF7, LAMA1, LAMA2, LAMC2, LGI1, LGR6, LHX2, LHX3, LHX4, LMX1A, LRP1, LRTM1, LRTM2, LYPLA2, MAPK1, MATN2, MYOT, MYPN, NCAM1, NEXN, NFASC, NKX2-1, NPTN, NR4A3, NRCAM, NRP2, NRXN1, NRXN3, NTN1, NTN3, NTN5, NTRK1, OR10A4, OTX2, PALLD, PAX6, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PLCG1, PLXNA1, PLXNA2, PLXNA4, PLXNB1, PLXNB2, PLXNC1, PLXND1, POU4F2, POU4F3, PRKCA, PRKCQ, PSPN, PTCH1, PTK2, PTPRA, PTPRM, PTPRO, RAC2, RANBP9, RAP1GAP, RELN, RET, RHOBTB3, RNF165, ROBO1, ROBO2, ROBO3, ROBO4, RPL24, RPS6KA5, SCN1B, SEMA3A, SEMA3B, SEMA3C, SEMA3D, SEMA3F, SEMA4F, SEMA5A, SEMA5B, SEMA6A, SEMA6C, SHANK3, SHC3, SHH, SIAH1, SLIT1, SLIT2, SLIT3, SMAD4, SPTA1, SPTB, SPTBN1, SPTBN2, SPTBN4, SPTBN5, SRC, TMEFF2, TNR, TRIO, TUBB3, UNC5A, UNC5B, UNC5C, UNC5D, USP33, VANGL2, VLDLR, VSTM2L, WNT3A, WNT5A"
"GO:0007411","axon guidance",248,3e-08,0.925,"AGRN, ALCAM, APBB2, APP, ARHGAP35, ARTN, B3GNT2, BCL11B, BDNF, BMP7, BMPR1B, BOC, BSG, CDH4, CDK5R1, CHL1, CHN1, CNTN2, CNTN4, CRMP1, CSF1R, CXCL12, CYFIP2, DAB1, DCC, DOK1, DOK2, DOK5, DOK6, DPYSL5, DRAXIN, DRGX, DSCAM, DSCAML1, EFNA2, EFNA3, EFNA4, EFNA5, EFNB2, EFNB3, EGFLAM, EGR2, EPHA10, EPHA2, EPHA5, EPHA6, EPHA8, EPHB1, EPHB2, EVL, EXT1, EZR, FAM129B, FEZ2, FEZF1, FGF8, FLRT2, FRS2, FYN, FZD3, GAB1, GAB2, GAP43, GATA3, GBX1, GDF7, GDNF, GFRA1, GFRA2, GFRA4, GLI2, GLI3, GPC1, GRB2, GRB7, HOXA2, IGSF9, IRS2, ISPD, KIF5A, KIF5C, KLF7, LAMA1, LAMA2, LAMC2, LGI1, LGR6, LHX2, LHX3, LHX4, LMX1A, LRP1, LRTM1, LRTM2, LYPLA2, MAPK1, MATN2, MYOT, MYPN, NCAM1, NEXN, NFASC, NKX2-1, NPTN, NR4A3, NRCAM, NRP2, NRXN1, NRXN3, NTN1, NTN3, NTN5, NTRK1, OR10A4, OTX2, PALLD, PAX6, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PLCG1, PLXNA1, PLXNA2, PLXNA4, PLXNB1, PLXNB2, PLXNC1, PLXND1, POU4F2, POU4F3, PRKCA, PRKCQ, PSPN, PTCH1, PTK2, PTPRA, PTPRM, PTPRO, RAC2, RANBP9, RAP1GAP, RELN, RET, RHOBTB3, RNF165, ROBO1, ROBO2, ROBO3, ROBO4, RPL24, RPS6KA5, SCN1B, SEMA3A, SEMA3B, SEMA3C, SEMA3D, SEMA3F, SEMA4F, SEMA6A, SEMA6C, SHANK3, SHC3, SHH, SIAH1, SLIT1, SLIT2, SLIT3, SMAD4, SPTA1, SPTB, SPTBN1, SPTBN2, SPTBN4, SPTBN5, SRC, TMEFF2, TNR, TRIO, TUBB3, UNC5A, UNC5B, UNC5C, UNC5D, USP33, VANGL2, VLDLR, VSTM2L, WNT3A, WNT5A"
"GO:0050890","cognition",289,2e-07,0.962,"AAAS, ABCA7, ACTR2, ADAM2, ADCY1, ADCY3, ADNP, ADORA1, AGER, AGT, AMFR, APOE, APP, ARC, ASIC1, ATAD1, ATP1A2, ATP8A1, ATXN1, ATXN1L, B4GALT2, BCHE, BDNF, BRINP1, BRSK1, BTBD9, BTG2, C12orf57, C5AR1, CAMK4, CBR3, CCK, CHD7, CHL1, CHRM1, CHRNA7, CHRNB2, CIC, CLDN5, CLN8, CNR1, CNTN2, CNTNAP2, COMT, CPEB3, CREB1, CRH, CRHBP, CRTC1, CTNS, CUX2, CX3CR1, DBH, DGCR2, DGKI, DLG4, DNAH11, DRD2, DRD3, DRD5, EGFR, EGR2, EIF2AK4, EIF4A3, EPHB2, FAM107A, FAM19A2, FOXO6, FOXP2, FYN, FZD9, GABRA5, GIP, GLP1R, GM2A, GMFB, GPR155, GPR88, GRIA1, GRIN1, GRIN2A, GRIN2B, GRM5, GTF2A1L, HIF1A, HLA-DRA, HMGCR, HRH1, HRH2, HRH3, HTR2A, HTT, INS, INSR, ITGA5, ITGA8, ITPR3, JAKMIP1, JPH3, JPH4, KALRN, KAT2A, KCNAB1, KCNK10, KCNK2, KCNK4, KLK8, KMT2B, KRAS, LDLR, LGMN, LHCGR, LHX8, LILRB2, LMX1A, LRRN4, MAP1A, MAPK1, MAPK8IP2, MAPT, MEIS2, MGAT3, MME, MTOR, MUSK, NCSTN, NDRG4, NETO1, NEUROD2, NF1, NFATC4, NGF, NIPBL, NPAS4, NPTN, NPTX2, NRGN, NRXN1, NRXN2, NRXN3, NTF4, NTRK1, NTRK2, NTSR1, OPRL1, OR52B4, OXT, PAFAH1B1, PAK6, PDE1B, PICALM, PLA2G6, PLCB1, PPP1R1B, PPP3CB, PRKAR1B, PRKAR2B, PRKCG, PRKCZ, PSEN1, PTGS2, PTN, PTPRZ1, RASGRF1, RELN, RGS14, RIC8A, RIN1, RP9, S100B, SCN2A, SGK1, SHANK1, SHANK2, SHANK3, SHC3, SHISA7, SLC11A2, SLC12A5, SLC17A7, SLC1A4, SLC24A2, SLC6A1, SLC6A4, SLC7A11, SLC8A2, SLC8A3, SNAP25, SOBP, SORCS3, ST3GAL4, STRA6, SYNGAP1, SYNPO, SYT4, TACR2, TANC1, TBR1, TH, TIFAB, TMOD2, TNF, TNR, TTBK1, TUSC3, UCN, VDAC1, VIP, VLDLR, ZNF385A"
"GO:0042692","muscle cell differentiation",237,2e-07,0.97,"ACTC1, ACTG1, ACTN2, ACVR1, ADRA1A, AGT, AKAP13, AKT1, ALPK2, ALPK3, ANK2, ANKRD1, ARID1A, ATG5, ATP2A2, AVPR1A, BCL9, BIN1, BIN3, BMP4, BVES, CACNA1H, CACNA2D2, CACYBP, CAPN2, CAPN3, CAPN9, CASQ1, CASQ2, CAV2, CAV3, CBY1, CCNB1, CD81, CD9, CDH2, CDK1, CDON, CFLAR, CSRP1, CSRP3, CTNNB1, CXADR, DNER, DYSF, EDNRB, ENG, EPC1, FBXO40, FER1L5, FHL2, FHOD3, FLNC, FOXF1, GATA4, GPX1, H3F3A, HEY1, HEY2, HIRA, HOMER1, IFRD1, IGF1, IGF2, IGFBP5, ITGA8, KCNH1, KDM6B, KEL, KLF5, KRAS, LDB3, LMOD1, LMOD3, LOX, LRRC10, MAML1, MAP2K4, MAPK14, MEF2A, MEGF10, MESP1, MIR23A, MTOR, MTPN, MYEF2, MYF5, MYF6, MYH11, MYH3, MYH6, MYH9, MYL2, MYLK3, MYO18B, MYOCD, MYOD1, MYOG, MYOM2, MYOM3, MYOZ1, MYOZ2, MYPN, NEB, NEBL, NFATC2, NFATC4, NKX2-6, NOS1, NOTCH1, NOX4, NRAP, NRG1, OBSCN, OBSL1, P2RX2, PDGFRA, PDGFRB, PGM5, PLEKHO1, POPDC3, PRKAR1A, PROX1, PTCD2, PTGFRN, QKI, RARA, RARB, RB1, RORA, RXRA, RYR1, SDC1, SEMA4C, SGCB, SGCD, SGCZ, SHH, SIX1, SIX4, SKI, SLC8A1, SLC9A1, SMARCD3, SMYD3, SORBS2, SORT1, SOX6, SPAG9, STAC3, SYNE1, SYNPO2L, SYPL2, TANC1, TBX1, TBX2, TBX3, TBX5, TCAP, TMEM204, TMOD1, TMOD2, TMOD4, TNNT1, TNNT2, TNNT3, TPM1, TTN, UCHL1, WFIKKN1, WFIKKN2, WNT3A, WNT4, WNT8A, WT1, ZMPSTE24"
"GO:0071804","cellular potassium ion transport",149,2e-07,0.778,"ABCC8, ABCC9, AQP1, ATP12A, ATP1A1, ATP1A2, ATP1A3, ATP1A4, ATP1B3, ATP4A, FXYD2, FXYD4, HCN1, HCN2, HCN3, HCN4, HPN, KCNA10, KCNA2, KCNA3, KCNA4, KCNA7, KCNAB1, KCNAB2, KCNAB3, KCNB1, KCNC1, KCNC2, KCNC3, KCNC4, KCND2, KCND3, KCNE1, KCNE2, KCNE4, KCNF1, KCNG2, KCNG4, KCNH1, KCNH2, KCNH3, KCNH4, KCNH5, KCNH6, KCNH7, KCNH8, KCNIP1, KCNIP2, KCNIP3, KCNIP4, KCNJ1, KCNJ10, KCNJ11, KCNJ12, KCNJ14, KCNJ15, KCNJ16, KCNJ2, KCNJ3, KCNJ5, KCNJ6, KCNJ9, KCNK10, KCNK12, KCNK13, KCNK15, KCNK16, KCNK18, KCNK2, KCNK3, KCNK4, KCNK5, KCNK6, KCNK9, KCNMA1, KCNMB1, KCNMB2, KCNN1, KCNN2, KCNN3, KCNQ1, KCNQ2, KCNQ3, KCNQ4, KCNQ5, KCNS1, KCNS2, KCNS3, KCNU1, KCNV1, KCNV2, LRRC38, LRRC55, MTMR6, NALCN, P2RY12, PKD2, PKD2L1, SLC12A1, SLC12A3, SLC12A4, SLC12A5, SLC12A6, SLC12A7, SLC12A8, SLC12A9, SLC1A3, SLC24A1, SLC24A2, SLC24A3, SLC24A4, SLC24A5, SLC9A1, SLC9A3, SLC9A8, SLC9A9, SLC9C1, SLC9C2, SNAP25, TMEM38B, TRPM5"
