"ID","Name","NumGenes","CorrectedPvalue","Multifunctionality","GeneMemberDiff"
"GO:0043062","extracellular structure organization",362,2e-13,0.913,"A2M, ABCA1, ABCA7, ABCG1, ABI3BP, ACAN, ADAM10, ADAM8, ADAMTS14, ADAMTS2, ADAMTS20, ADAMTS3, ADAMTS4, ADAMTS9, ADAMTSL2, AGTR1, ANXA2, APBB2, APOA4, APOA5, APOB, APOC2, APOC4, ARF1, B4GALT1, BMP1, CAPN2, CAV2, CCDC80, CD44, COL10A1, COL11A2, COL12A1, COL13A1, COL14A1, COL15A1, COL16A1, COL17A1, COL18A1, COL19A1, COL1A1, COL1A2, COL22A1, COL23A1, COL24A1, COL27A1, COL2A1, COL4A1, COL4A3, COL5A1, COL5A2, COL6A3, COL7A1, COL8A1, COL8A2, COL9A1, COL9A2, CSGALNACT1, CTRB1, CTRB2, CTSG, DAG1, DCN, DDR1, DNAJB6, DPT, EGFLAM, ELN, FBLN1, FBLN2, FBN1, FBN2, FGB, FGG, FLRT2, FN1, GAS2, GREM1, HAPLN1, HPN, HPSE2, HSD17B12, HTRA1, IBSP, ICAM2, ITGA11, ITGA2B, ITGA5, ITGA8, ITGA9, ITGAE, ITGAL, ITGAM, ITGAX, ITGB3, ITGB6, KAZALD1, KDR, KIF9, KLK5, KLK7, LAMA2, LAMA3, LAMA4, LAMA5, LAMB3, LAMB4, LCP1, LIPC, LPA, LUM, MADCAM1, MFAP5, MMP13, MMP16, MMP17, MMP2, MMP8, MPO, MYF5, MYH11, MYO1E, NF1, OTOL1, PDGFRA, PLA2G7, PLG, PLTP, POSTN, PXDN, QSOX1, SCARB1, SFRP2, SH3PXD2A, SPARC, SPINK5, SPOCK2, SULF1, SULF2, TEX14, TGFB2, TGFBI, THBS1, THSD4, TIMP2, TLL1, TLL2, TMPRSS6, TNR, TNXB, VIT, VWA1, WT1"
"GO:0030198","extracellular matrix organization",318,2e-12,0.905,"A2M, ABI3BP, ACAN, ADAM10, ADAM8, ADAMTS14, ADAMTS2, ADAMTS20, ADAMTS3, ADAMTS4, ADAMTS9, ADAMTSL2, ANXA2, APBB2, B4GALT1, BMP1, CAPN2, CAV2, CCDC80, CD44, COL10A1, COL11A2, COL12A1, COL13A1, COL14A1, COL15A1, COL16A1, COL17A1, COL18A1, COL19A1, COL1A1, COL1A2, COL22A1, COL23A1, COL24A1, COL27A1, COL2A1, COL4A1, COL4A3, COL5A1, COL5A2, COL6A3, COL7A1, COL8A1, COL8A2, COL9A1, COL9A2, CSGALNACT1, CTRB1, CTRB2, CTSG, DAG1, DCN, DDR1, DNAJB6, DPT, EGFLAM, ELN, FBLN1, FBLN2, FBN1, FBN2, FGB, FGG, FLRT2, FN1, GAS2, GREM1, HAPLN1, HPN, HPSE2, HSD17B12, HTRA1, IBSP, ICAM2, ITGA11, ITGA2B, ITGA5, ITGA8, ITGA9, ITGAE, ITGAL, ITGAM, ITGAX, ITGB3, ITGB6, KAZALD1, KDR, KIF9, KLK5, KLK7, LAMA2, LAMA3, LAMA4, LAMA5, LAMB3, LAMB4, LCP1, LUM, MADCAM1, MFAP5, MMP13, MMP16, MMP17, MMP2, MMP8, MYF5, MYH11, MYO1E, NF1, OTOL1, PDGFRA, PLG, POSTN, PXDN, QSOX1, SFRP2, SH3PXD2A, SPARC, SPINK5, SPOCK2, SULF1, SULF2, TGFB2, TGFBI, THBS1, THSD4, TIMP2, TLL1, TLL2, TMPRSS6, TNR, TNXB, VIT, VWA1, WT1"
"GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway",200,1e-10,0.923,"ABCA1, ADCY2, ADCY5, ADCY7, ADCY8, ADCY9, ADORA1, ADORA2B, ADRA1A, ADRA1D, AKAP13, CALCB, CALCR, CALCRL, CASR, CCR3, CHRM2, CHRM3, CHRM4, CNR1, CRHR1, CRHR2, DRD2, DRD3, FPR1, FPR2, FSHR, GABBR1, GALR1, GCG, GLP1R, GLP2R, GNA13, GNA14, GNA15, GNAI2, GNAL, GNAO1, GNAQ, GNAS, GNAT2, GNAZ, GNB1, GNG2, GPHB5, GPR176, GPR26, GPR37, GPR37L1, GPR78, GRIK3, GRK5, GRM2, GRM3, GRM4, GRM7, GRM8, HTR1E, HTR5A, IAPP, LGR4, LHCGR, LPAR1, MARCO, MC2R, MC3R, NPY2R, OPRD1, OPRM1, OR56A1, OR5T1, PALM, PDE2A, PDE4D, PTGER3, PTGFR, PTGIR, PTHLH, RAMP1, RAMP3, RIT2, RXFP1, UCN2, VIP"
"GO:0007187","G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger",232,4e-09,0.919,"ABCA1, ADCY2, ADCY5, ADCY7, ADCY8, ADCY9, ADORA1, ADORA2B, ADRA1A, ADRA1D, AKAP13, CALCB, CALCR, CALCRL, CASR, CCR3, CHRM2, CHRM3, CHRM4, CNR1, CRHR1, CRHR2, DRD2, DRD3, FPR1, FPR2, FSHR, GABBR1, GALR1, GCG, GLP1R, GLP2R, GNA13, GNA14, GNA15, GNAI2, GNAL, GNAO1, GNAQ, GNAS, GNAT2, GNAZ, GNB1, GNG2, GPHB5, GPR176, GPR26, GPR37, GPR37L1, GPR78, GRIK3, GRK5, GRM2, GRM3, GRM4, GRM7, GRM8, HRH1, HRH2, HTR1E, HTR2A, HTR4, HTR5A, HTR7, IAPP, LGR4, LHCGR, LPAR1, MARCO, MC2R, MC3R, NPY2R, OPRD1, OPRM1, OR56A1, OR5T1, OR5T2, OR5T3, PALM, PDE2A, PDE4D, PTGER3, PTGFR, PTGIR, PTHLH, RAMP1, RAMP3, RIT2, RXFP1, UCN2, VIP"
"GO:0019933","cAMP-mediated signaling",140,5e-09,0.921,"ABCA1, ADCY2, ADCY5, ADCY7, ADCY8, ADCY9, ADCYAP1R1, ADORA2B, ADRA1A, ADRA1D, AHR, AKAP13, AKAP6, CALCB, CALCR, CALCRL, CRHR1, DEFB1, DGKQ, DRD2, DRD3, EPHA5, FSHR, GALR1, GCG, GLP1R, GNA13, GNAI2, GNAL, GNAQ, GNAS, GNB1, GNG2, GPHB5, GPR26, GPR78, HTR5A, IAPP, KSR1, LGR4, LHCGR, MC2R, MC3R, OPRM1, OR56A1, OR5T1, PCLO, PDE2A, PDE3A, PDE4D, PTGER3, PTGFR, PTGIR, PTHLH, RAMP1, RAMP3, RIT2, RXFP1, UCN2, VIP"
"GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",248,8e-09,0.00775,"ACVR1, AJUBA, ARVCF, CADM1, CADM3, CD209, CDH10, CDH11, CDH13, CDH17, CDH18, CDH2, CDH20, CDH22, CDH23, CDH4, CDH5, CDH6, CDH8, CDH9, CDHR1, CDHR2, CDHR3, CDHR4, CELSR1, CLDN1, CLDN11, CLDN12, CLDN16, CLDN17, CLDN18, CLSTN2, CNTN2, CNTN4, CNTN6, CRB1, CRB2, DAB1, DCHS2, DSC2, DSCAM, DSCAML1, EFNA5, FAT1, FAT3, FAT4, GPC6, GRID2, HMCN1, IGSF11, IGSF21, IGSF9, IL1RAP, ITGA5, ITGAL, ITGAM, KIRREL3, LRFN5, LRRC4C, MAG, NEXN, NLGN1, NPTN, NRXN1, NTNG2, PALLD, PCDH1, PCDH12, PCDH15, PCDH7, PCDH9, PCDHA1, PCDHA2, PCDHA3, PCDHA4, PCDHA5, PCDHA6, PCDHA7, PCDHA8, PCDHB11, PCDHB13, PCDHB4, PLXNB2, PTPRD, PTPRM, PTPRS, PTPRT, REG3A, RET, ROBO1, ROBO2, ROBO4, SDK1, SDK2, SELP, SLITRK1, TENM2, TENM3, TENM4, TGFB2, TGFBR2, UMOD, UNC5D"
"GO:0019935","cyclic-nucleotide-mediated signaling",163,3e-08,0.932,"ABCA1, ADCY2, ADCY5, ADCY7, ADCY8, ADCY9, ADCYAP1R1, ADORA2B, ADRA1A, ADRA1D, AHR, AKAP13, AKAP6, CALCB, CALCR, CALCRL, CD36, CRHR1, DEFB1, DGKQ, DRD2, DRD3, EPHA5, FSHR, GALR1, GCG, GLP1R, GNA13, GNAI2, GNAL, GNAQ, GNAS, GNB1, GNG2, GPHB5, GPR26, GPR78, HTR5A, IAPP, KCNC2, KSR1, LGR4, LHCGR, MC2R, MC3R, NPR1, OPRM1, OR56A1, OR5T1, PCLO, PDE2A, PDE3A, PDE4D, PDE9A, PRKAR2B, PRKG1, PTGER3, PTGFR, PTGIR, PTHLH, RAMP1, RAMP3, RIT2, RXFP1, UCN2, VIP"
"GO:0019932","second-messenger-mediated signaling",326,7e-08,0.949,"ABCA1, ADCY2, ADCY5, ADCY7, ADCY8, ADCY9, ADCYAP1R1, ADORA2B, ADRA1A, ADRA1D, AGTR1, AHR, AKAP13, AKAP6, ANK2, ATP1A2, ATP2A2, CACNA1C, CALCB, CALCR, CALCRL, CALML6, CAMK2D, CASQ1, CASQ2, CCR2, CCR3, CCR5, CD36, CRHR1, CXCR1, CXCR2, CXCR5, DDAH1, DEFB1, DGKQ, DRD2, DRD3, EDN3, EIF2AK3, EPHA5, FPR1, FPR2, FSHR, GALR1, GCG, GLP1R, GNA13, GNAI2, GNAL, GNAQ, GNAS, GNB1, GNG2, GPHB5, GPR26, GPR78, GRIN2A, GRIN2B, GRM5, HDAC4, HRH1, HTR5A, IAPP, INPP5A, ITPR1, KCNC2, KDR, KSR1, KSR2, LACRT, LAT2, LGR4, LHCGR, LRRK2, MC2R, MC3R, MCTP1, NCALD, NFATC1, NFATC2, NFATC3, NMUR1, NMUR2, NOS1, NPR1, NPY2R, OPRM1, OR56A1, OR5T1, PCLO, PDE2A, PDE3A, PDE4D, PDE9A, PLCE1, PRKAR2B, PRKG1, PTGER3, PTGFR, PTGIR, PTHLH, PTPRJ, RAMP1, RAMP3, RCAN1, RIT2, RXFP1, RYR2, SELP, SGCD, SLC8A1, TNFSF11, TPCN2, UCN2, VIP"
"GO:0051966","regulation of synaptic transmission, glutamatergic",70,4e-07,0.886,"ADORA1, ATP1A2, CCR2, CDH2, CNR1, DGKI, DGKZ, DISC1, DRD2, DRD3, GRIK1, GRIK2, GRIK3, GRM1, GRM2, GRM3, GRM4, GRM5, GRM7, GRM8, HTR2A, KMO, LRRK2, NLGN1, NLGN2, NPS, NPY2R, NRXN1, NTRK1, OR56A1, OR5T1, RELN, ROR2, SHANK1, SHANK2, SYT1, TNR, TSHZ3, UNC13A"
"GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway",122,8e-07,0.919,"ABCA1, ADCY2, ADCY5, ADCY7, ADCY8, ADCY9, ADORA2B, ADRA1A, ADRA1D, AKAP13, CALCB, CALCR, CALCRL, CRHR1, DRD2, DRD3, FSHR, GALR1, GCG, GLP1R, GNA13, GNAI2, GNAL, GNAQ, GNAS, GNB1, GNG2, GPHB5, GPR26, GPR78, IAPP, LGR4, LHCGR, MC2R, MC3R, OPRM1, OR56A1, OR5T1, PDE4D, PTGER3, PTGFR, PTGIR, PTHLH, RAMP1, RAMP3, RIT2, RXFP1, UCN2, VIP"
