"ID","Name","NumGenes","CorrectedPvalue","Multifunctionality","GeneMemberDiff"
"GO:0051056","regulation of small GTPase mediated signal transduction",321,1e-07,0.707,"ABL1, ABL2, ABR, AKAP13, ARAP1, ARAP3, ARFGAP1, ARHGAP10, ARHGAP12, ARHGAP18, ARHGAP20, ARHGAP25, ARHGAP26, ARHGAP29, ARHGAP32, ARHGAP39, ARHGAP44, ARHGAP8, ARHGDIA, ARHGEF10L, ARHGEF16, ARHGEF26, ARHGEF28, ARHGEF3, ARHGEF39, ARHGEF4, ARHGEF40, ARHGEF7, AUTS2, BCR, CGNL1, CUL3, CYTH1, DAB2IP, DENND1A, DLC1, DNMBP, EPHB2, EPS8L2, F2R, F2RL1, FARP1, FARP2, FGD3, FGD6, FLCN, GPR35, IQSEC1, ITGA3, KANK1, KANK2, KITLG, KRAS, LPAR1, MAPKAP1, MAPRE2, MCF2L2, MFN2, NET1, NGEF, NOTCH1, NRG1, PIK3R2, PLCE1, PLEKHG1, PLEKHG5, PREX1, PSD, PSD4, RAF1, RALBP1, RALGAPA1, RALGAPA2, RALGPS2, RAP1GAP, RAP1GAP2, RAPGEF1, RASA2, RASA3, RASGRP1, RHOBTB1, RHOBTB2, RHOF, RHOH, RHOT2, SH3BP1, SIPA1, SIPA1L1, SIPA1L2, SIPA1L3, SQSTM1, SRC, SRGAP1, SRGAP3, SSX2IP, SYNGAP1, TIAM1, TIMP2, TRIO, VAV1, VAV2"
"GO:0043547","positive regulation of GTPase activity",369,4e-07,0.59,"ABR, ACAP2, ACAP3, ADAP1, AGAP1, AGRN, AKT2, ALDH1A1, ANKRD27, ARAP1, ARAP3, ARFGAP1, ARFGAP3, ARHGAP10, ARHGAP12, ARHGAP18, ARHGAP20, ARHGAP25, ARHGAP26, ARHGAP27, ARHGAP29, ARHGAP32, ARHGAP39, ARHGAP44, ARHGAP8, ARHGDIA, ARHGEF10L, ARHGEF16, ARHGEF7, ASAP2, BCAS3, BCR, CAV2, CCL19, CCL24, CORO1C, DAB2IP, DENND1A, DLC1, DOCK1, DOCK4, DOCK9, DVL2, EZH2, F2R, F2RL1, FLCN, GIT2, GNAQ, GNB5, GSK3B, ICAM1, IQSEC1, LLGL1, LLGL2, MAPRE2, MTSS1L, NEDD9, NET1, NPRL3, ODAM, PICALM, PREX1, RABEP2, RABGAP1, RABGAP1L, RALBP1, RALGAPA1, RALGAPA2, RANGAP1, RAP1A, RAP1GAP, RAP1GAP2, RAPGEF1, RAPGEF2, RASA1, RASA2, RASA3, RASGRP1, RCC2, RGS12, RGS3, RGS8, RGS9, RIC8B, RIN2, RIN3, RINL, SH3BP1, SIPA1, SIPA1L1, SIPA1L2, SIPA1L3, SRGAP1, SRGAP3, SYNGAP1, TBC1D1, TBC1D10B, TBC1D14, TBC1D16, TBC1D2, TBC1D22A, TBC1D24, TBC1D2B, TBC1D4, TBC1D5, TBC1D8, TBC1D9, TIAM1, TSC1, VAV1"
"GO:0034330","cell junction organization",204,3e-07,0.913,"ACTG1, ACTN1, ACTN4, ANG, ARHGEF7, ARVCF, BCL2, BCR, CADM1, CCM2, CDH1, CDH13, CDH23, CDH3, CLDN9, CNTNAP1, COL17A1, CSK, CTNNA1, CXADR, DLC1, DLG5, F2R, F2RL1, FBLIM1, FLCN, FRMPD2, FSCN1, GJB2, GNPAT, GRHL2, HDAC7, ITGA2, ITGB4, JUP, KIFC3, LAMA3, LAMA5, LAMB3, MARVELD3, MYADM, NF2, NFASC, NLGN2, NUMB, PARD3, PARD6G, PDPK1, PEAK1, PLEC, PLEKHA7, PRKCA, PRKCI, PTPRK, PTPRO, PVR, RCC2, SDK2, SH3BP1, SMAD3, SMAD7, SORBS1, SRC, TGFB1, TLN1, UGT8, VMP1, WDR1"
"GO:0072001","renal system development",264,7e-06,0.993,"ACAT1, ACE, ACTA2, AGT, ALDH1A2, ANGPT2, AQP11, AQP2, ARG2, ARID5B, ARL3, BCL2, BMP2, BMP6, BMP7, CDKN1C, COL4A1, DACT2, DLG5, DLL1, EFNB2, ENPEP, EPCAM, EPHA4, FGF1, FGF2, FGFR1, FGFR2, FRAS1, GLI2, GLIS2, HNF1A, HOXD11, HPGD, ID3, IRX1, ITGA3, ITGB4, JAG1, KANK2, KLHL3, LAMA5, LGR4, LGR5, LRP4, MTSS1, MYO1E, NFIA, NIPBL, NOTCH1, NUP93, OSR2, OVOL1, PBX1, PCSK9, PDGFB, PGF, PKD1, PLCE1, PROM1, PROX1, PTCH1, PTPRO, RARA, RBP4, REN, SDC1, SMAD2, SMAD3, SMAD4, SMAD6, SMAD7, SOX8, STRA6, SULF2, TFAP2B, TP73, TRAF3IP1, TSC1, VEGFA, WNK4, WWTR1"
"GO:0032869","cellular response to insulin stimulus",159,6e-06,0.969,"AKT2, ATP6V0D1, ATP6V0E1, ATP6V1A, ATP6V1C2, BAIAP2, BCAR1, CAV2, CDK4, CEACAM1, CFLAR, CSRP3, EEF2K, EIF4EBP1, FER, FOXO1, FOXO3, FOXO6, GHRHR, GRB14, GRB7, GSK3B, HDAC9, IGF1R, IGFBP1, INSR, LPIN1, LPIN2, LPIN3, MYO5A, PAK1, PARP1, PCSK9, PDK2, PDK4, PDPK1, PIK3CA, PIK3R1, PIK3R2, PIK3R3, PKLR, PPARG, PRKCI, PRKCZ, PTPN1, PTPRA, RAB10, SLC25A33, SOGA1, SORBS1, SRC, SREBF1, SRSF5, STAR, TBC1D4, TCIRG1, VAMP2, ZNF106"
"GO:0001655","urogenital system development",298,1e-05,0.993,"ACAT1, ACE, ACTA2, AGT, ALDH1A2, ANGPT2, AQP11, AQP2, ARG2, ARID5B, ARL3, BCL2, BMP2, BMP6, BMP7, CDKN1C, COL4A1, DACT2, DLG5, DLL1, EFNB2, ENPEP, EPCAM, EPHA4, EPHB2, EPHB3, FGF1, FGF2, FGFR1, FGFR2, FRAS1, FRS2, GLI2, GLIS2, HNF1A, HOXD11, HPGD, ID3, IRX1, ITGA3, ITGB4, JAG1, KANK2, KLHL3, LAMA5, LGR4, LGR5, LRP4, MTSS1, MYO1E, NFIA, NIPBL, NOTCH1, NUP93, OSR2, OVOL1, PBX1, PCSK9, PDGFB, PGF, PKD1, PLCE1, PROM1, PROX1, PSAP, PTCH1, PTPRO, RARA, RBP4, REN, RXRA, SDC1, SMAD2, SMAD3, SMAD4, SMAD6, SMAD7, SOX8, STRA6, SULF2, TFAP2B, TP63, TP73, TRAF3IP1, TSC1, VEGFA, WDR77, WNK4, WWTR1"
"GO:0071375","cellular response to peptide hormone stimulus",256,2e-05,0.979,"ADCY3, ADCY9, AGT, AKT2, ARID1B, ATP6V0D1, ATP6V0E1, ATP6V1A, ATP6V1C2, BAIAP2, BCAR1, BRIP1, CAV2, CDC6, CDK4, CEACAM1, CFLAR, CPS1, CSK, CSRP3, EEF2K, EIF4EBP1, FER, FOXO1, FOXO3, FOXO6, FYN, GHRHR, GJB2, GRB14, GRB7, GSK3B, HDAC9, HSF1, IGF1R, IGFBP1, INSR, LPIN1, LPIN2, LPIN3, MAX, MYO5A, NFE2L2, PAK1, PARP1, PCSK9, PDK2, PDK4, PDPK1, PIK3CA, PIK3R1, PIK3R2, PIK3R3, PKLR, POR, PPARG, PRKAR1B, PRKCD, PRKCI, PRKCZ, PRLR, PTK2, PTPN1, PTPRA, PXN, RAB10, RANGAP1, SLC25A33, SOGA1, SORBS1, SRC, SREBF1, SRSF5, STAR, STAT5A, STAT5B, TBC1D4, TCIRG1, VAMP2, ZNF106"
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",158,2e-05,0.00103,"CADM1, CDH1, CDH13, CDH22, CDH23, CDH3, CDHR1, CDHR2, CDHR5, CEACAM1, IGSF21, MPZL2, PCDH7, PCDHA1, PCDHA10, PCDHA11, PCDHA12, PCDHA13, PCDHA2, PCDHA3, PCDHA4, PCDHA5, PCDHA6, PCDHA7, PCDHA8, PCDHA9, PCDHAC1, PCDHAC2, PCDHGA1, PCDHGA10, PCDHGA11, PCDHGA12, PCDHGA2, PCDHGA3, PCDHGA4, PCDHGA5, PCDHGA6, PCDHGA7, PCDHGA8, PCDHGA9, PCDHGB1, PCDHGB2, PCDHGB3, PCDHGB4, PCDHGB6, PCDHGB7, PCDHGC3, PCDHGC4, PCDHGC5, PIK3CB, PKD1, PLXNB2, PVR, SDK2"
"GO:0032868","response to insulin",221,3e-05,0.971,"AKT2, ATP6V0D1, ATP6V0E1, ATP6V1A, ATP6V1C2, BAIAP2, BCAR1, CAV2, CDK4, CEACAM1, CFLAR, CSRP3, EEF2K, EIF4EBP1, FABP3, FER, FOXO1, FOXO3, FOXO6, GHRHR, GRB14, GRB7, GSK3B, HDAC9, HSD11B2, ICAM1, IGF1R, IGFBP1, INPPL1, INSR, KBTBD2, LPIN1, LPIN2, LPIN3, MAX, MTOR, MYO5A, PAK1, PARP1, PCSK9, PDK2, PDK4, PDPK1, PIK3CA, PIK3R1, PIK3R2, PIK3R3, PKLR, PPARG, PRKCI, PRKCZ, PTPN1, PTPRA, RAB10, SCAP, SLC25A33, SOGA1, SORBS1, SORT1, SRC, SREBF1, SRSF5, STAR, TBC1D4, TCIRG1, TSC1, VAMP2, VGF, ZBTB7B, ZNF106"
"GO:0001822","kidney development",251,3e-05,0.995,"ACAT1, ACE, ACTA2, AGT, ALDH1A2, ANGPT2, AQP11, AQP2, ARG2, ARID5B, ARL3, BCL2, BMP2, BMP6, BMP7, CDKN1C, DACT2, DLG5, DLL1, EFNB2, ENPEP, EPCAM, EPHA4, FGF1, FGF2, FGFR1, FGFR2, FRAS1, GLI2, GLIS2, HNF1A, HOXD11, HPGD, ID3, IRX1, ITGA3, JAG1, KANK2, KLHL3, LAMA5, LGR4, LRP4, MTSS1, MYO1E, NIPBL, NOTCH1, OSR2, OVOL1, PBX1, PCSK9, PDGFB, PGF, PKD1, PLCE1, PROM1, PROX1, PTCH1, PTPRO, RARA, REN, SDC1, SMAD2, SMAD3, SMAD4, SMAD6, SMAD7, SOX8, STRA6, SULF2, TFAP2B, TP73, TRAF3IP1, TSC1, VEGFA, WNK4, WWTR1"
