"SampleID","DNAmAge","Comment","noMissingPerSample","meanMethBySample","minMethBySample","maxMethBySample","corSampleVSgoldstandard","meanAbsDifferenceSampleVSgoldstandard","predictedGender","meanXchromosome","predictedTissue","ProbabilityFrom.X.Vasc.Endoth.Umbilical.","ProbabilityFrom.Ape.WB","ProbabilityFrom.Blood.CD4.Tcells","ProbabilityFrom.Blood.CD4.CD14","ProbabilityFrom.Blood.Cell.Types","ProbabilityFrom.Blood.Cord","ProbabilityFrom.Blood.PBMC","ProbabilityFrom.Blood.WB","ProbabilityFrom.Bone","ProbabilityFrom.Brain.Cerebellar","ProbabilityFrom.Brain.CRBLM","ProbabilityFrom.Brain.FCTX","ProbabilityFrom.Brain.Occipital.Cortex","ProbabilityFrom.Brain.PONS","ProbabilityFrom.Brain.Prefr.CTX","ProbabilityFrom.Brain.TCTX","ProbabilityFrom.Breast","ProbabilityFrom.Breast.NL","ProbabilityFrom.Buccal","ProbabilityFrom.Cartilage.Knee","ProbabilityFrom.Colon","ProbabilityFrom.Dermal.fibroblast","ProbabilityFrom.Epidermis","ProbabilityFrom.Fat.Adip","ProbabilityFrom.Gastric","ProbabilityFrom.GlialCell","ProbabilityFrom.Head.Neck","ProbabilityFrom.Heart","ProbabilityFrom.Kidney","ProbabilityFrom.Liver","ProbabilityFrom.Liver.","ProbabilityFrom.Lung","ProbabilityFrom.MSC","ProbabilityFrom.Muscle","ProbabilityFrom.Neuron","ProbabilityFrom.Placenta","ProbabilityFrom.Prostate.NL","ProbabilityFrom.Saliva","ProbabilityFrom.Sperm","ProbabilityFrom.Stomach","ProbabilityFrom.Thyroid","ProbabilityFrom.Uterine.Cervix","ProbabilityFrom.Uterine.Endomet","AgeAccelerationDiff","AgeAccelerationResidual","Sample_ID","Age","Female","Tissue"
"X201172580052_R02C01",6.26913031217783," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85. WARNING: Predicted tissue does not match the column Tissue",0,0.227091707240259,0,0.982873889635643,0.774880662269649,0.11651179192635,"male",0.247598906634302,"Colon",0.008,0.006,0,0.012,0.01,0.01,0.012,0.006,0.014,0.002,0.008,0.004,0,0.006,0.004,0,0.006,0.004,0.076,0.02,0.5,0.004,0.01,0,0.032,0.002,0.016,0.004,0.014,0.006,0.004,0.014,0.01,0.008,0.002,0.038,0.038,0.03,0.01,0.004,0.004,0.024,0.018,-4.73086968782217,-4.21764995740557,"201172580052_R02C01",11,0,"Gastric"
"X201172580051_R03C01",13.0714081917788," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85. WARNING: Predicted tissue does not match the column Tissue",0,0.227184322779968,0,0.983377974433924,0.774485389388453,0.116113492469222,"male",0.272021316178141,"Colon",0.012,0.008,0.002,0.002,0.01,0.008,0.004,0.008,0.02,0,0.016,0.006,0,0.002,0.004,0.002,0.006,0.01,0.078,0.016,0.406,0.008,0.018,0,0.04,0.002,0.034,0.016,0.028,0.014,0.01,0.02,0.012,0.006,0.004,0.032,0.04,0.03,0.02,0.002,0.002,0.02,0.022,2.07140819177877,2.58462792219538,"201172580051_R03C01",11,0,"Gastric"
"X201172560046_R01C01",10.9356512338758," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85. WARNING: Predicted tissue does not match the column Tissue",0,0.236216547658129,0,0.980159934387758,0.794578647636807,0.110156760695509,"female",0.446723006020816,"Colon",0.008,0.006,0,0.01,0.01,0.002,0.01,0.01,0.012,0.004,0.002,0.006,0,0,0.008,0,0.002,0.004,0.08,0.014,0.578,0.008,0.01,0,0.022,0.002,0.02,0.002,0.01,0.006,0.002,0.01,0.002,0.006,0,0.02,0.044,0.032,0.01,0,0.006,0.012,0.01,-4.06434876612419,-1.17521540810225,"201172560046_R01C01",15,1,"Gastric"
"X201172560032_R08C01",10.8416061903354," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85. WARNING: Predicted tissue does not match the column Tissue",0,0.230669810209683,0,0.982220659940189,0.785287776086478,0.112406334159755,"female",0.459861662449741,"Colon",0.01,0.006,0.002,0.004,0.008,0.004,0.008,0.006,0.024,0,0.024,0.002,0,0.002,0.014,0,0.006,0.008,0.084,0.02,0.434,0.01,0.018,0,0.03,0.006,0.02,0.016,0.028,0.014,0.008,0.016,0.01,0.008,0.004,0.028,0.022,0.03,0.02,0.004,0.002,0.02,0.02,-4.15839380966462,-1.26926045164268,"201172560032_R08C01",15,1,"Gastric"
"X201172560048_R02C01",9.78000666164169," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85. WARNING: Predicted tissue does not match the column Tissue",0,0.236920686072555,0,0.984144033355657,0.79178874844998,0.111443134978041,"female",0.432513064050442,"Colon",0.008,0.006,0.002,0.008,0.01,0.004,0.022,0.006,0.016,0.004,0.004,0.004,0,0,0.012,0,0.006,0.008,0.092,0.012,0.558,0.002,0.014,0,0.016,0.004,0.016,0.002,0.012,0.006,0.002,0.006,0.004,0.004,0,0.014,0.044,0.028,0.012,0.002,0.004,0.02,0.006,-5.21999333835831,-2.33085998033637,"201172560048_R02C01",15,1,"Gastric"
"X201172560047_R02C01",12.2981396011497," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85. WARNING: Predicted tissue does not match the column Tissue",0,0.232226926420845,0,0.982427612309429,0.786157882953861,0.112243011398787,"female",0.435100615922757,"Colon",0.014,0.014,0,0.006,0.01,0.006,0.01,0.006,0.016,0.002,0.012,0.004,0,0,0.008,0,0.004,0.006,0.084,0.018,0.478,0.004,0.014,0,0.03,0.002,0.03,0.008,0.016,0.008,0.002,0.012,0.01,0.006,0.01,0.02,0.038,0.03,0.02,0.004,0.002,0.022,0.014,-2.70186039885026,0.187272959171684,"201172560047_R02C01",15,1,"Gastric"
"X201172580052_R07C01",9.16041793795651," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85. WARNING: Predicted tissue does not match the column Tissue",0,0.232531956348111,0,0.989471512147164,0.771833357195421,0.118586523929299,"female",0.444818519623798,"Colon",0.016,0.002,0.002,0.006,0.01,0.008,0.008,0.004,0.02,0.006,0.012,0.006,0,0,0.004,0.002,0.004,0.004,0.082,0.014,0.476,0.002,0.014,0,0.02,0.002,0.016,0.002,0.03,0.008,0.004,0.01,0.01,0.01,0.004,0.04,0.054,0.032,0.02,0,0.004,0.018,0.014,-4.83958206204349,-2.54442711092288,"201172580052_R07C01",14,1,"Gastric"
"X201172580001_R01C01",11.4426903924904," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85. WARNING: Predicted tissue does not match the column Tissue",0,0.2276679011161,0,0.981968445842251,0.779681481120704,0.113897765796183,"female",0.438100515294543,"Colon",0.008,0.01,0,0.004,0.01,0.008,0.004,0.006,0.02,0,0.026,0.004,0,0,0.01,0,0.006,0.006,0.1,0.014,0.442,0.008,0.018,0,0.026,0.004,0.022,0.01,0.028,0.008,0.004,0.01,0.016,0.004,0.01,0.024,0.03,0.028,0.014,0.002,0.004,0.028,0.024,-2.55730960750959,-0.262154656388975,"201172580001_R01C01",14,1,"Gastric"
"X203548870026_R02C01",9.02293281121486," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85. WARNING: Predicted tissue does not match the column Tissue",0,0.238130028779598,0,0.985577915650259,0.794879738320904,0.111420294507464,"female",0.439623373826202,"Colon",0.01,0.002,0.002,0.002,0.012,0.002,0.008,0.008,0.012,0.002,0.008,0.004,0,0.002,0.006,0,0.002,0.008,0.088,0.012,0.562,0.004,0.008,0,0.02,0.002,0.02,0.004,0.012,0.004,0.004,0.01,0.008,0.004,0.004,0.012,0.048,0.028,0.016,0,0.004,0.02,0.016,-0.97706718878514,-1.05782586526986,"203548870026_R02C01",10,1,"Gastric"
"X203548970083_R04C01",8.79452860737627," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85. WARNING: Predicted tissue does not match the column Tissue",0,0.240576901958777,0,0.98426288260236,0.794419741151539,0.110506930187674,"female",0.440141070379531,"Colon",0.014,0.008,0.002,0.002,0.006,0.002,0.016,0.004,0.012,0.002,0.004,0.006,0,0,0.008,0,0.006,0.008,0.084,0.014,0.604,0.004,0.012,0,0.016,0.002,0.014,0.004,0.01,0,0.002,0.004,0.008,0.004,0,0.01,0.032,0.028,0.018,0,0.006,0.014,0.01,7.79452860737627,2.36796426877955,"203548970083_R04C01",1,1,"Gastric"
